7, 1, 0, 1, 7, 0, 1
443, 1, 0, 10, 443, 0, 10
4617, 1, 0, 100, 4617, 0, 100
48100, 1, 0, 1000, 48100, 0, 1000
497184, 1, 0, 10000, 497184, 0, 10000
4.96558e+06, 1, 0, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 1, 5, 1000000, 4.94836e+07, 1, 1000000
4.95027e+08, 1, 12, 10000000, 4.95027e+08, 11, 10000000
4.95003e+09, 1, 144, 100000000, 4.95003e+09, 118, 100000000
443, 2, 0, 10, 443, 0, 10
4617, 2, 0, 100, 4617, 0, 100
48100, 2, 0, 1000, 48100, 0, 1000
497184, 2, 0, 10000, 497184, 0, 10000
4.96558e+06, 2, 0, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 2, 1, 1000000, 4.94836e+07, 2, 1000000
4.95027e+08, 2, 6, 10000000, 4.95027e+08, 10, 10000000
4.95003e+09, 2, 66, 100000000, 4.95003e+09, 110, 100000000
0, 3, 0, 10, 443, 0, 10
0, 3, 0, 100, 4617, 0, 100
0, 3, 0, 1000, 48100, 0, 1000
0, 3, 0, 10000, 497184, 0, 10000
0, 3, 0, 100000, 4.96558e+06, 0, 100000
0, 3, 0, 1000000, 4.94836e+07, 1, 1000000
0, 3, 0, 10000000, 4.95027e+08, 14, 10000000
0, 3, 0, 100000000, 4.95003e+09, 135, 100000000
0, 4, 0, 10, 443, 0, 10
4617, 4, 0, 100, 4617, 0, 100
48100, 4, 2, 1000, 48100, 0, 1000
497184, 4, 0, 10000, 497184, 0, 10000
4.96558e+06, 4, 0, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 4, 1, 1000000, 4.94836e+07, 1, 1000000
4.95027e+08, 4, 7, 10000000, 4.95027e+08, 13, 10000000
4.95003e+09, 4, 52, 100000000, 4.95003e+09, 145, 100000000
443, 5, 0, 10, 443, 0, 10
4617, 5, 0, 100, 4617, 0, 100
48100, 5, 0, 1000, 48100, 0, 1000
497184, 5, 0, 10000, 497184, 0, 10000
4.96558e+06, 5, 0, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 5, 0, 1000000, 4.94836e+07, 1, 1000000
4.95027e+08, 5, 20, 10000000, 4.95027e+08, 22, 10000000
4.95003e+09, 5, 81, 100000000, 4.95003e+09, 118, 100000000
0, 6, 0, 10, 443, 0, 10
0, 6, 0, 100, 4617, 0, 100
0, 6, 0, 1000, 48100, 0, 1000
0, 6, 0, 10000, 497184, 0, 10000
0, 6, 0, 100000, 4.96558e+06, 0, 100000
0, 6, 0, 1000000, 4.94836e+07, 1, 1000000
0, 6, 0, 10000000, 4.95027e+08, 39, 10000000
0, 6, 0, 100000000, 4.95003e+09, 138, 100000000
0, 7, 0, 10, 443, 0, 10
0, 7, 0, 100, 4617, 0, 100
0, 7, 0, 1000, 48100, 0, 1000
0, 7, 0, 10000, 497184, 0, 10000
0, 7, 0, 100000, 4.96558e+06, 0, 100000
0, 7, 0, 1000000, 4.94836e+07, 1, 1000000
0, 7, 0, 10000000, 4.95027e+08, 14, 10000000
0, 7, 0, 100000000, 4.95003e+09, 140, 100000000
0, 8, 0, 10, 443, 0, 10
0, 8, 0, 100, 4617, 0, 100
48100, 8, 0, 1000, 48100, 0, 1000
497184, 8, 1, 10000, 497184, 0, 10000
4.96558e+06, 8, 0, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 8, 1, 1000000, 4.94836e+07, 1, 1000000
4.95027e+08, 8, 4, 10000000, 4.95027e+08, 13, 10000000
4.95003e+09, 8, 43, 100000000, 4.95003e+09, 108, 100000000
0, 9, 0, 10, 443, 0, 10
0, 9, 0, 100, 4617, 0, 100
0, 9, 0, 1000, 48100, 0, 1000
0, 9, 0, 10000, 497184, 0, 10000
0, 9, 0, 100000, 4.96558e+06, 0, 100000
0, 9, 0, 1000000, 4.94836e+07, 1, 1000000
0, 9, 0, 10000000, 4.95027e+08, 13, 10000000
0, 9, 0, 100000000, 4.95003e+09, 125, 100000000
443, 10, 0, 10, 443, 0, 10
4617, 10, 0, 100, 4617, 0, 100
48100, 10, 0, 1000, 48100, 0, 1000
497184, 10, 0, 10000, 497184, 0, 10000
4.96558e+06, 10, 2, 100000, 4.96558e+06, 0, 100000
4.94836e+07, 10, 1, 1000000, 4.94836e+07, 1, 1000000
4.95027e+08, 10, 5, 10000000, 4.95027e+08, 10, 10000000
4.95003e+09, 10, 49, 100000000, 4.95003e+09, 107, 100000000
